id,mode,recommended_amount,pnl,maxdd,sharpe,win_rate,strategy_name,ltf_interval,created_at,raw_row
80,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:48.161990,"{'trial_id': 80, 'number': 79, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:48.161990', 'datetime_complete': '2025-09-28 04:32:50.920293'}"
81,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:50.930951,"{'trial_id': 81, 'number': 80, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:50.930951', 'datetime_complete': '2025-09-28 04:32:53.759427'}"
82,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:53.771626,"{'trial_id': 82, 'number': 81, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:53.771626', 'datetime_complete': '2025-09-28 04:32:56.554493'}"
83,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:56.567478,"{'trial_id': 83, 'number': 82, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:56.567478', 'datetime_complete': '2025-09-28 04:32:59.228810'}"
84,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:59.241269,"{'trial_id': 84, 'number': 83, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:59.241269', 'datetime_complete': '2025-09-28 04:33:02.152040'}"
85,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:33:02.163017,"{'trial_id': 85, 'number': 84, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:33:02.163017', 'datetime_complete': '2025-09-28 04:33:04.897842'}"
86,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:33:04.908562,"{'trial_id': 86, 'number': 85, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:33:04.908562', 'datetime_complete': '2025-09-28 04:33:07.581489'}"
87,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:33:07.591947,"{'trial_id': 87, 'number': 86, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:33:07.591947', 'datetime_complete': '2025-09-28 04:33:10.314555'}"
88,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:33:10.326874,"{'trial_id': 88, 'number': 87, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:33:10.326874', 'datetime_complete': '2025-09-28 04:33:13.231678'}"
89,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:33:13.242376,"{'trial_id': 89, 'number': 88, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:33:13.242376', 'datetime_complete': '2025-09-28 04:33:16.012988'}"
90,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:33:16.023815,"{'trial_id': 90, 'number': 89, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:33:16.023815', 'datetime_complete': '2025-09-28 04:33:18.808080'}"
91,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:33:18.818685,"{'trial_id': 91, 'number': 90, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:33:18.818685', 'datetime_complete': '2025-09-28 04:33:21.461786'}"
92,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:33:21.474241,"{'trial_id': 92, 'number': 91, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:33:21.474241', 'datetime_complete': '2025-09-28 04:33:24.237606'}"
93,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:33:24.248112,"{'trial_id': 93, 'number': 92, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:33:24.248112', 'datetime_complete': '2025-09-28 04:33:26.997389'}"
94,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:33:27.008511,"{'trial_id': 94, 'number': 93, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:33:27.008511', 'datetime_complete': '2025-09-28 04:33:29.704576'}"
95,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:33:29.716877,"{'trial_id': 95, 'number': 94, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:33:29.716877', 'datetime_complete': '2025-09-28 04:33:32.461425'}"
