trial_id,number,study_id,state,datetime_start,datetime_complete,pnl,maxdd,sharpe,dca_max_steps,dca_ratio,dca_spacing,rsi_threshold,td_confirm,win_rate
81,80,1,COMPLETE,2025-09-28 04:32:50.930951,2025-09-28 04:32:53.759427,0.09234968002257221,0.31002415194275,0.8865530070579728,5.0,0.11841470273298356,0.03853859444804587,29.0,1.0,0.0
82,81,1,COMPLETE,2025-09-28 04:32:53.771626,2025-09-28 04:32:56.554493,-0.4560922689538584,0.5164094982334367,0.6549060864717736,5.0,0.16047871857765839,0.027933046961865583,63.0,1.0,0.0
83,82,1,COMPLETE,2025-09-28 04:32:56.567478,2025-09-28 04:32:59.228810,0.0934826189648643,0.6461952843887553,0.9232204849993768,2.0,0.3091964490022313,0.027850635275978586,53.0,1.0,0.0
84,83,1,COMPLETE,2025-09-28 04:32:59.241269,2025-09-28 04:33:02.152040,-0.15206805526945597,0.5721349723798708,1.0609716183672409,2.0,0.13641594345837468,0.028472640513294158,57.0,1.0,0.0
85,84,1,COMPLETE,2025-09-28 04:33:02.163017,2025-09-28 04:33:04.897842,-0.05536230521729577,0.49190737093305714,0.7999851917973394,3.0,0.14823574848500867,0.04888671497932176,68.0,0.0,0.0
86,85,1,COMPLETE,2025-09-28 04:33:04.908562,2025-09-28 04:33:07.581489,-0.3048122084422095,0.6882458192122464,1.03737780597735,3.0,0.44205716992840993,0.04164015057443634,72.0,0.0,0.0
87,86,1,COMPLETE,2025-09-28 04:33:07.591947,2025-09-28 04:33:10.314555,-0.33680431195983024,0.5026451037314665,0.8411884417813424,4.0,0.3091964490022313,0.03564516843533135,22.0,1.0,0.0
88,87,1,COMPLETE,2025-09-28 04:33:10.326874,2025-09-28 04:33:13.231678,0.43378684704306664,0.5361220939081373,1.2146221931177408,2.0,0.3690413772244572,0.020982063216023056,67.0,0.0,0.0
89,88,1,COMPLETE,2025-09-28 04:33:13.242376,2025-09-28 04:33:16.012988,0.7788732287768835,0.7552191074465319,0.9121596409890329,1.0,0.2554453718196177,0.02221995201173322,24.0,0.0,0.0
90,89,1,COMPLETE,2025-09-28 04:33:16.023815,2025-09-28 04:33:18.808080,-0.3644918483802865,0.6263666033134734,1.2295424436305429,3.0,0.4819303440783006,0.026914087660249712,74.0,0.0,0.0
91,90,1,COMPLETE,2025-09-28 04:33:18.818685,2025-09-28 04:33:21.461786,0.41788426248713656,0.5245607840013095,1.2799651207308158,2.0,0.14823574848500867,0.04888671497932176,68.0,0.0,0.0
92,91,1,COMPLETE,2025-09-28 04:33:21.474241,2025-09-28 04:33:24.237606,-0.06512016804223553,0.6555067401631265,1.0643929535507406,4.0,0.23127945798632588,0.010082023986488503,55.0,0.0,0.0
93,92,1,COMPLETE,2025-09-28 04:33:24.248112,2025-09-28 04:33:26.997389,0.7329247272628763,0.5137648023080921,0.7257863056941753,4.0,0.352032934531469,0.011139736090854085,52.0,0.0,0.0
94,93,1,COMPLETE,2025-09-28 04:33:27.008511,2025-09-28 04:33:29.704576,0.13707026706200065,0.5265936282981868,0.8873798049209138,3.0,0.4373088123675647,0.048995855767376494,62.0,0.0,0.0
95,94,1,COMPLETE,2025-09-28 04:33:29.716877,2025-09-28 04:33:32.461425,-0.41145952235800914,0.6868961727904891,1.0598941874180723,1.0,0.1596573385830539,0.04581443576628644,68.0,0.0,0.0
96,95,1,COMPLETE,2025-09-28 04:33:32.473836,2025-09-28 04:33:35.226674,-0.14724774065039106,0.5814614458601086,0.6440712822457405,5.0,0.23127945798632588,0.020885550487303027,80.0,0.0,0.0
97,96,1,COMPLETE,2025-09-28 04:33:35.237720,2025-09-28 04:33:38.039614,-0.4929093886372387,0.7522792702761233,1.4186795331522692,1.0,0.3148219448484806,0.04286636761945936,68.0,1.0,0.0
98,97,1,COMPLETE,2025-09-28 04:33:38.051325,2025-09-28 04:33:40.846114,-0.11660906389539905,0.3780746614284764,1.2266370052156652,5.0,0.16047871857765839,0.04370621677650705,63.0,1.0,0.0
99,98,1,COMPLETE,2025-09-28 04:33:40.856589,2025-09-28 04:33:43.527034,0.025501661457697677,0.5192834207720602,1.2987189807724842,2.0,0.41123734234585707,0.035299202694945006,65.0,1.0,0.0
100,99,1,COMPLETE,2025-09-28 04:33:43.539258,2025-09-28 04:33:46.183783,0.27097628906220567,0.6143316100370582,0.9405385530579017,1.0,0.1235291422644357,0.04997356838955463,62.0,0.0,0.0
101,100,1,COMPLETE,2025-09-28 04:33:46.194640,2025-09-28 04:33:48.956438,-0.46121049347739645,0.49479938831376546,0.8539943095108836,4.0,0.13313905902389742,0.029067115483825436,68.0,0.0,0.0
102,101,1,COMPLETE,2025-09-28 04:33:48.968464,2025-09-28 04:33:51.623962,0.8620005443111844,0.5031661239049904,0.7597604195792285,3.0,0.1726751870367428,0.020468974473075482,72.0,0.0,0.0
103,102,1,COMPLETE,2025-09-28 04:33:51.635171,2025-09-28 04:33:54.348592,0.2784251216277142,0.4893281249831052,1.367218062482681,5.0,0.2554453718196177,0.02221995201173322,50.0,1.0,0.0
